User,Date,Text,Reply,Repost,Like,View
@nadiyah_atikah4,2024-10-01-02:06:38,Terima kasih Jokowi atas upaya meningkatkan daya saing industri nasional. #10TahunJokowiMembangun,0,0,0,7
@fatea_kalina,2024-10-01-02:06:15,"Terima kasih, Pak Jokowi, telah memberikan arah yang jelas dalam memajukan perekonomian Indonesia. #10TahunJokowiMembangun",0,0,0,13
@bayu_jeremii,2024-10-01-02:05:55,Dedikasimu untuk negeri ini akan selalu dikenang. Terima kasih Pak Jokowi. #10TahunJokowiMembangun,0,0,0,7
@alfi_syahri8,2024-10-01-02:05:55,"Jokowi, Anda adalah ""arsitek"" modern Indonesia. Terima kasih atas rancangan masa depan yang solid! #10TahunJokowiMembangun",0,0,0,8
@rafakila_dahla,2024-10-01-02:05:53,"Terima kasih Pak Jokowi, pembangunan di kampung bikin hidup lebih mudah. #10TahunJokowiMembangun",0,0,0,7
@fitriy_rizka,2024-10-01-02:05:42,"Terima kasih Pak Jokowi, telah menjaga keutuhan bangsa di tengah tantangan. #10TahunJokowiMembangun",0,0,0,7
@maya_rombong18,2024-10-01-02:05:42,"Terima kasih, Pak Jokowi, atas pembangunan infrastruktur yang memberikan efek positif bagi perekonomian. #10TahunJokowiMembangun",0,0,0,8
@arami_adum24,2024-10-01-02:05:15,"Kepemimpinan Pak Jokowi bikin Indonesia makin solid, terima kasih! #10TahunJokowiMembangun",0,0,0,7
@ika_panti,2024-10-01-02:04:31,"Terima kasih, Pak Jokowi, lo udah mendukung pelestarian budaya lokal di Aceh. #10TahunJokowiMembangun",0,0,0,16
@dharma_putri45,2024-10-01-02:04:19,Terima kasih Jokowi atas kemajuan besar di sektor maritim dan kelautan. #10TahunJokowiMembangun,0,0,0,5
@dauba_iyah,2024-10-01-02:04:17,"Terima kasih, Pak Jokowi, atas dedikasi Anda dalam menjaga persatuan bangsa! #10TahunJokowiMembangun",0,0,0,8
@isma_aina48,2024-10-01-02:04:03,"Pak Jokowi, terima kasih telah memperjuangkan pembangunan ekonomi yang merata di seluruh negeri. #10TahunJokowiMembangun",0,0,0,12
@naufal_akbr5,2024-10-01-02:03:59,"Terima kasih, Pak Jokowi, telah memimpin negeri ini dengan penuh kesederhanaan namun penuh tekad. #10TahunJokowiMembangun",0,0,0,7
@q_hazni,2024-10-01-02:03:53,"Terima kasih, Pak Jokowi, atas perhatian Anda pada pembangunan kawasan perbatasan. #10TahunJokowiMembangun",0,0,0,7
@aqilla_aure,2024-10-01-02:03:53,"Terima kasih, Pak Jokowi, telah memberikan contoh nyata bahwa pemimpin harus mengutamakan kepentingan rakyat. #10TahunJokowiMembangun",0,0,0,8
@astrid_marf5,2024-10-01-02:03:28,Terima kasih Jokowi atas pembangunan yang merata di seluruh pelosok negeri. #10TahunJokowiMembangun,0,0,0,5
@carla_tina22,2024-10-01-02:03:19,"Indonesia Maju adalah hasil dari komitmen luar biasa Presiden Jokowi, terima kasih. #10TahunJokowiMembangun",0,0,0,9
@dodo_winarno,2024-10-01-02:03:17,"Terima kasih, Pak Jokowi! Kamu bikin kita bangga jadi bagian dari bangsa ini! #10TahunJokowiMembangun",0,0,0,10
